21	2.005690	fe80::221:ccff:fec1:2eae	ff02::fb	MDNS	404	Standard query 0x0000 ANY ishraq-thinkpad._udisks-ssh._tcp.local, "QM" question ANY ishraq-thinkpad.local, "QM" question ANY e.a.e.2.1.c.e.f.f.f.c.c.1.2.2.0.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa, "QM" question ANY ishraq-thinkpad [00:21:cc:c1:2e:ae]._workstation._tcp.local, "QM" question AAAA fe80::221:ccff:fec1:2eae PTR ishraq-thinkpad.local HINFO I686 LINUX SRV 0 0 9 ishraq-thinkpad.local TXT SRV 0 0 22 ishraq-thinkpad.local TXT
22	2.005846	192.168.2.1	224.0.0.251	MDNS	201	Standard query 0x0000 ANY e.a.e.2.1.c.e.f.f.f.c.c.1.2.2.0.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa, "QM" question ANY ishraq-thinkpad.local, "QM" question AAAA fe80::221:ccff:fec1:2eae PTR ishraq-thinkpad.local
23	2.173417	192.168.2.1	224.0.0.251	MDNS	277	Standard query response 0x0000 TXT, cache flush A, cache flush 192.168.2.1 PTR, cache flush ishraq-thinkpad.local SRV, cache flush 0 0 9 ishraq-thinkpad.local TXT, cache flush SRV, cache flush 0 0 22 ishraq-thinkpad.local
24	2.256283	fe80::221:ccff:fec1:2eae	ff02::fb	MDNS	404	Standard query 0x0000 ANY ishraq-thinkpad._udisks-ssh._tcp.local, "QM" question ANY ishraq-thinkpad.local, "QM" question ANY e.a.e.2.1.c.e.f.f.f.c.c.1.2.2.0.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa, "QM" question ANY ishraq-thinkpad [00:21:cc:c1:2e:ae]._workstation._tcp.local, "QM" question AAAA fe80::221:ccff:fec1:2eae PTR ishraq-thinkpad.local HINFO I686 LINUX SRV 0 0 9 ishraq-thinkpad.local TXT SRV 0 0 22 ishraq-thinkpad.local TXT
25	2.256434	192.168.2.1	224.0.0.251	MDNS	201	Standard query 0x0000 ANY e.a.e.2.1.c.e.f.f.f.c.c.1.2.2.0.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa, "QM" question ANY ishraq-thinkpad.local, "QM" question AAAA fe80::221:ccff:fec1:2eae PTR ishraq-thinkpad.local
26	2.256802	192.168.2.1	224.0.0.251	MDNS	98	Standard query response 0x0000 HINFO, cache flush I686 LINUX
27	2.456874	fe80::221:ccff:fec1:2eae	ff02::fb	MDNS	380	Standard query response 0x0000 TXT, cache flush AAAA, cache flush fe80::221:ccff:fec1:2eae PTR, cache flush ishraq-thinkpad.local HINFO, cache flush I686 LINUX SRV, cache flush 0 0 9 ishraq-thinkpad.local TXT, cache flush SRV, cache flush 0 0 22 ishraq-thinkpad.local
28	2.457019	192.168.2.1	224.0.0.251	MDNS	189	Standard query response 0x0000 PTR, cache flush ishraq-thinkpad.local AAAA, cache flush fe80::221:ccff:fec1:2eae
29	2.620951	fe80::221:ccff:fec1:2eae	ff02::fb	MDNS	107	Standard query 0x0000 PTR _ipps._tcp.local, "QM" question PTR _ipp._tcp.local, "QM" question
30	2.985292	fe80::221:ccff:fec1:2eae	ff02::fb	MDNS	350	Standard query response 0x0000 PTR _udisks-ssh._tcp.local PTR ishraq-thinkpad [00:21:cc:c1:2e:ae]._workstation._tcp.local TXT, cache flush SRV, cache flush 0 0 9 ishraq-thinkpad.local AAAA, cache flush fe80::221:ccff:fec1:2eae PTR _workstation._tcp.local PTR ishraq-thinkpad._udisks-ssh._tcp.local TXT, cache flush SRV, cache flush 0 0 22 ishraq-thinkpad.local
